latitude,longitude,datetime
50.820808819,-1.313131154,2018-08-29T15:16:19.087462
50.820808819,-1.313131154,2018-08-29T15:16:20.093457
50.820821465,-1.313131479,2018-08-29T15:16:21.095369
50.820821465,-1.313131479,2018-08-29T15:16:22.096982
50.820821465,-1.313131479,2018-08-29T15:16:23.099452
50.82083411,-1.313131804,2018-08-29T15:16:24.101739
50.820846755,-1.313132129,2018-08-29T15:16:25.102300
50.820846755,-1.313132129,2018-08-29T15:16:26.103781
50.820853721,-1.313132455,2018-08-29T15:16:27.105416
50.820860687,-1.31313278,2018-08-29T15:16:28.107018
50.820860687,-1.31313278,2018-08-29T15:16:29.110878
50.820873333,-1.313133105,2018-08-29T15:16:30.113149
50.820873333,-1.313133105,2018-08-29T15:16:31.115165
50.820873333,-1.313133105,2018-08-29T15:16:32.119777
50.820885978,-1.31313343,2018-08-29T15:16:33.121729
50.820892944,-1.313133756,2018-08-29T15:16:34.123336
50.820892944,-1.313133756,2018-08-29T15:16:35.129152
50.820893104,-1.313119568,2018-08-29T15:16:36.135270
50.82090007,-1.313119894,2018-08-29T15:16:37.136954
50.82090007,-1.313119894,2018-08-29T15:16:38.138426
50.820905749,-1.313119894,2018-08-29T15:16:39.139797
50.820905909,-1.313105707,2018-08-29T15:16:40.145132
50.820905909,-1.313105707,2018-08-29T15:16:41.148592
50.820918554,-1.313106032,2018-08-29T15:16:42.150210
50.82092552,-1.313106357,2018-08-29T15:16:43.152308
50.82092552,-1.313106357,2018-08-29T15:16:44.158025
50.820931199,-1.313106357,2018-08-29T15:16:45.159447
50.820931199,-1.313106357,2018-08-29T15:16:46.162566
50.820938165,-1.313106682,2018-08-29T15:16:47.168810
50.820943844,-1.313106682,2018-08-29T15:16:48.171944
50.820943844,-1.313106682,2018-08-29T15:16:49.173677
50.82095081,-1.313107007,2018-08-29T15:16:50.175590
50.82095081,-1.313107007,2018-08-29T15:16:51.176982
50.820963455,-1.313107333,2018-08-29T15:16:52.178608
50.820963455,-1.313107333,2018-08-29T15:16:53.182902
50.820970422,-1.313107658,2018-08-29T15:16:54.184766
50.820970422,-1.313107658,2018-08-29T15:16:55.186186
50.82097626,-1.313093471,2018-08-29T15:16:56.188992
50.820983227,-1.313093796,2018-08-29T15:16:57.190810
50.820983227,-1.313093796,2018-08-29T15:16:58.193043
50.820983227,-1.313093796,2018-08-29T15:16:59.199080
50.820995872,-1.313094121,2018-08-29T15:17:00.201626
50.820995872,-1.313094121,2018-08-29T15:17:01.205710
